date,AABA,AAPL,ADBE,ADP,AMGN,AMOV,AMZN,ATVI,AVGO,BIDU,BIIB,BKNG,CELG,CHTR,CMCSA,CME,COST,CSCO,CSX,CTSH,ESRX,FB,FOX,FOXA,GILD,GOOG,GOOGL,ILMN,INTC,INTU,ISRG,KHC,MAR,MDLZ,MSFT,MU,NFLX,NVDA,PEP,PYPL,QCOM,QQQ,REGN,SBUX,TMUS,TSLA,TXN,VRTX,WBA,WDAY
2017-08-02,0,51,0,8,1,2,12,0,0,1,0,0,0,2,4,12,6,40,3,0,5,22,8,7,0,8,8,3,30,0,0,5,32,9,3,24,5,0,5,0,2,0,2,2,2,11,0,0,6,0
2017-08-03,0,20,0,1,0,1,25,3,0,0,0,0,0,7,0,6,4,21,1,4,3,26,10,10,0,2,2,2,52,0,0,5,48,3,4,24,8,0,0,0,1,3,8,0,6,16,0,0,5,0
2017-08-04,0,15,0,10,2,0,6,1,0,0,0,0,0,3,0,13,2,22,3,0,1,24,12,12,2,11,11,0,31,0,0,6,33,0,5,14,2,0,0,2,4,1,1,0,0,9,0,0,2,0
2017-08-05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-06,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,9,0,0,0,2,1,1,0,3,3,0,8,0,0,1,3,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08-07,0,15,1,6,0,0,13,0,0,0,0,0,0,3,2,2,0,14,0,0,0,19,3,3,0,14,14,0,9,1,1,6,39,2,5,20,11,3,1,2,1,4,0,0,2,16,0,0,0,0
2017-08-08,0,13,0,1,0,0,17,0,0,0,0,0,0,0,1,5,1,20,0,0,0,30,5,5,0,26,26,0,28,1,0,1,43,1,7,12,12,1,0,2,8,0,0,0,3,4,0,0,1,0
2017-08-09,0,8,2,0,0,0,28,0,0,0,0,0,0,5,0,3,5,25,0,0,0,29,22,22,0,5,5,1,21,3,0,3,44,0,0,22,21,0,1,0,5,1,0,0,0,3,0,0,4,0
2017-08-10,0,13,2,4,0,2,26,0,0,0,0,0,1,4,0,5,5,16,0,0,0,18,15,15,1,16,16,0,41,0,0,1,45,0,21,26,1,7,3,4,3,1,0,0,0,1,0,0,0,0
2017-08-11,0,7,2,0,0,0,12,0,0,7,0,0,0,3,0,3,4,17,0,0,0,25,4,4,0,13,13,5,26,1,1,0,43,3,2,13,4,8,0,0,6,1,0,0,0,7,0,0,1,0
2017-08-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,3,3,0,0,0,0,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2017-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,1,1,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
2017-08-14,3,22,0,2,2,0,17,1,0,0,4,0,2,2,1,4,9,17,0,0,0,30,9,8,1,16,16,0,34,0,0,4,26,1,9,16,12,0,5,1,3,4,3,0,2,19,0,0,0,0
2017-08-15,1,10,0,0,0,0,18,0,1,0,0,0,0,0,0,4,3,22,2,0,0,23,4,4,0,11,11,0,33,1,0,0,38,0,3,6,0,1,1,0,1,0,0,0,3,0,0,0,0,0
